Company,EntryDate,COmpleteDate,Task Owner 
Blick-Barton,8/18/2020,2020-09-13 00:00:00,Brian Hunt
Effertz-Schuppe,4/29/2019,2019-05-29 00:00:00,Kendall Coffman
"Jenkins, Toy and Fahey",5/29/2020,2020-06-07 00:00:00,Benjamin Davis
Graham Inc,9/15/2020,2020-10-03 00:00:00,Mary Lindberg
"Kilback, Smith and Tillman",6/26/2019,2021-01-01 00:00:00,James Rich
Harber-Veum,1/21/2020,2021-01-01 00:00:00,Raymond Cox
"Krajcik, Blanda and Hessel",5/24/2019,2019-06-05 00:00:00,Crystal Northcraft
Hansen and Sons,3/31/2019,2021-01-01 00:00:00,Marvin Boles
Runolfsson-Schaden,7/12/2019,2019-08-07 00:00:00,Henry Katt
Corwin Group,12/22/2019,2020-01-14 00:00:00,Joseph Lloyd
Gottlieb-Graham,9/6/2018,2018-10-01 00:00:00,Jack Hamel
Pacocha Inc,12/4/2019,2019-12-22 00:00:00,Mary Rodriquez
Russel-Hartmann,8/3/2019,2021-01-01 00:00:00,Kyle Kohler
Hudson-Mayer,6/18/2019,2019-06-26 00:00:00,Kevin Serafin
Shields LLC,8/2/2019,2021-01-01 00:00:00,Forrest Jackson
Rice Group,2/14/2019,2021-01-01 00:00:00,Bennie Peabody
Boehm LLC,9/2/2018,2018-09-26 00:00:00,Ryan Williams
"Jones, Watsica and Barrows",12/20/2019,2020-01-13 00:00:00,Sarah Pickens
"Cassin, Marvin and Lowe",4/22/2020,2021-01-01 00:00:00,Tanya Guerrera
"Jones, Pollich and Adams",6/24/2019,2019-07-18 00:00:00,Evelyn Cash
Koss-DuBuque,9/23/2018,2021-01-01 00:00:00,Michael Mason
"Schuppe, Erdman and Marquardt",11/20/2019,2021-01-01 00:00:00,Helen Lee
Stokes-Deckow,8/23/2020,2020-09-19 00:00:00,Edwin Leblanc
Gibson-Becker,6/5/2019,2019-06-14 00:00:00,Kathleen Morris
"Botsford, Becker and Boyle",12/13/2018,2018-12-20 00:00:00,Roy Kelley
Nolan-Ritchie,12/2/2018,2018-12-24 00:00:00,David Mezzatesta
Emard-Hackett,12/2/2019,2019-12-31 00:00:00,Mario Litaker
Dietrich and Sons,12/7/2019,2019-12-30 00:00:00,Maria Zorns
"Ruecker, Heaney and O'Conner",5/2/2019,2021-01-01 00:00:00,Gertrude Lewis
Bosco Inc,6/10/2019,2019-07-05 00:00:00,James Keats
"Frami, Farrell and Anderson",11/22/2019,2019-12-01 00:00:00,Leah Rangel
Balistreri and Sons,12/22/2018,2019-01-13 00:00:00,Ned Flores
Connelly Group,4/6/2019,2021-01-01 00:00:00,Carlos Rexroad
Champlin-Bartell,1/31/2019,2019-02-20 00:00:00,Silvia Hammond
"Bruen, Goyette and Hudson",2/1/2020,2020-02-12 00:00:00,Joan Gutman
Zboncak Group,3/12/2020,2021-01-01 00:00:00,Nicholas Hudson
"Dickinson, Kohler and Gleichner",10/9/2019,2021-01-01 00:00:00,Dean Ryan
Strosin LLC,7/4/2020,2020-07-19 00:00:00,Christopher Murphy
Rempel-Hintz,2/19/2019,2019-03-05 00:00:00,Diane Hunter
Simonis LLC,4/12/2020,2021-01-01 00:00:00,William Grams
Stark-Morissette,12/17/2018,2021-01-01 00:00:00,Patricia Good
Bednar Group,12/14/2018,2019-01-06 00:00:00,George Grisby
West Group,9/10/2020,2020-09-22 00:00:00,Marin Morgan
"Kessler, Jast and Dickinson",7/8/2020,2021-01-01 00:00:00,James Blake
Padberg Inc,9/27/2019,2019-10-16 00:00:00,Carl Armstrong
"Miller, Padberg and Klocko",3/29/2020,2020-04-06 00:00:00,Mark Mcnair
Volkman-Kautzer,3/30/2019,2019-04-22 00:00:00,Janet Caravati
"Quigley, Cormier and Mertz",9/24/2019,2019-10-22 00:00:00,Sandra Mckellar
Miller and Sons,5/29/2020,2020-06-18 00:00:00,Natasha Lawler
Gulgowski LLC,6/18/2020,2020-06-25 00:00:00,Christine Lamons
Hilll Group,12/4/2019,2019-12-31 00:00:00,Amber Monarez
Denesik-Blick,7/2/2020,2020-07-13 00:00:00,Roy Dumas
Hudson and Sons,7/3/2019,2019-07-15 00:00:00,Marisa Taylor
Towne and Sons,4/6/2019,2019-05-05 00:00:00,Natasha Copeland
Klocko Group,4/1/2019,2019-04-09 00:00:00,Arthur Musielak
"Gulgowski, Bechtelar and Carter",3/15/2019,2019-04-04 00:00:00,Debby Francisco
Gutkowski Group,3/2/2020,2020-03-14 00:00:00,Rebecca Carey
Brakus-Conroy,10/30/2019,2019-11-24 00:00:00,Anna Richardson
Kling-Brekke,3/19/2019,2019-03-29 00:00:00,Ryan Mueller
Braun-Quitzon,10/13/2018,2021-01-01 00:00:00,Tyler Nicol
Trantow LLC,8/5/2019,2021-01-01 00:00:00,Jude Gibbs
"MacGyver, Ledner and Heidenreich",6/21/2020,2020-06-29 00:00:00,Debra Lynn
Kessler-McClure,10/28/2019,2019-11-13 00:00:00,Melanie Lattimer
Adams Group,2/28/2019,2019-03-14 00:00:00,George Adamo
Hills Inc,3/13/2020,2020-03-24 00:00:00,Gerald Holmes
"Zboncak, Casper and McLaughlin",8/3/2020,2020-08-14 00:00:00,Ada Burleson
"Casper, Hodkiewicz and Kautzer",3/22/2020,2020-04-16 00:00:00,Lisa Hagler
Denesik-Reinger,12/23/2018,2019-01-13 00:00:00,Chad Sumner
Osinski-Kub,11/8/2019,2019-11-16 00:00:00,Florence Klena
Hane-Kozey,4/23/2019,2021-01-01 00:00:00,Harold Butler
Veum LLC,2/13/2020,2021-01-01 00:00:00,Reginald Sloane
Jacobson LLC,5/22/2019,2019-06-15 00:00:00,Frederick Williams
Zboncak Inc,11/22/2018,2018-12-18 00:00:00,Francesca Snyder
Bernhard LLC,9/18/2020,2020-10-07 00:00:00,Charles Sampson
"Hansen, Zemlak and Hessel",7/28/2020,2020-08-15 00:00:00,Everette Schultz
Reilly Inc,12/13/2018,2019-01-12 00:00:00,Emily Coleman
Langosh Inc,11/11/2018,2018-11-23 00:00:00,Florence Scott
Adams-Macejkovic,7/27/2020,2020-08-12 00:00:00,Fabian Jackson
"Emmerich, Homenick and Funk",2/5/2019,2019-03-02 00:00:00,Rob Hiner
Powlowski-Cassin,6/5/2020,2020-07-03 00:00:00,Jose Daughrity
Langworth LLC,12/4/2019,2021-01-01 00:00:00,Jeffrey Allen
"Sawayn, Dickinson and Balistreri",1/14/2019,2019-02-09 00:00:00,Theodore Holloway
"Mueller, Langosh and Haag",10/30/2019,2019-11-28 00:00:00,Mary Rew
"Wisozk, White and Smith",2/13/2020,2020-02-27 00:00:00,John Kwan
Batz Inc,1/12/2019,2019-01-20 00:00:00,Wilfred Andersson
"Torp, Rath and Hettinger",11/21/2019,2019-12-08 00:00:00,Jason Kelley
"Donnelly, Brown and Renner",2/19/2020,2020-03-19 00:00:00,Kristen Garcia
"Veum, Fisher and Casper",1/11/2019,2019-01-25 00:00:00,John Larsen
"Osinski, Corkery and Rath",12/4/2018,2021-01-01 00:00:00,Tammy Wade
Krajcik and Sons,6/20/2020,2020-07-01 00:00:00,Amanda Parker
"Hackett, Koepp and Kihn",9/16/2020,2020-10-05 00:00:00,Jessi Cabrera
Turner-Daugherty,1/18/2020,2020-02-02 00:00:00,Dorothy Lawrence
"Stanton, Beier and Reilly",12/23/2019,2021-01-01 00:00:00,James Chambers
"Osinski, Renner and Witting",10/14/2018,2018-10-28 00:00:00,Mark Crumpton
Hirthe-Nitzsche,12/17/2019,2021-01-01 00:00:00,Colleen Passe
Bechtelar-Ortiz,9/19/2018,2021-01-01 00:00:00,Wendy Falck
Metz and Sons,10/12/2019,2019-10-26 00:00:00,Harris Braley
"Stracke, Ferry and Aufderhar",7/7/2019,2021-01-01 00:00:00,Wallace Molineaux
Stiedemann Group,4/16/2019,2021-01-01 00:00:00,Jessica Randazzo
"Kuhn, McClure and Prohaska",11/8/2019,2021-01-01 00:00:00,Curtis Roberson
Welch and Sons,9/17/2019,2021-01-01 00:00:00,Douglas Clark
"Lind, Auer and Schuster",7/3/2019,2019-07-27 00:00:00,Walter Moore
"Keebler, Wisoky and Bins",10/1/2019,2021-01-01 00:00:00,Christy Allison
Nicolas-Hirthe,1/30/2020,2021-01-01 00:00:00,William Jenkins
"Satterfield, Schowalter and Roberts",9/12/2019,2019-09-19 00:00:00,David Caicedo
Stroman Inc,2/9/2019,2021-01-01 00:00:00,Mark Wilcox
Bradtke and Sons,12/5/2019,2019-12-16 00:00:00,Kenneth Morales
Yost LLC,4/26/2019,2019-05-07 00:00:00,Dorene Woods
"Oberbrunner, Fisher and Toy",1/23/2020,2020-02-05 00:00:00,Michael Mason
Bartoletti Inc,6/13/2020,2021-01-01 00:00:00,Natalie Smith
"Sauer, Welch and Bayer",6/25/2020,2020-07-19 00:00:00,Jessica Lane
Bogan-Reilly,10/13/2019,2019-10-22 00:00:00,Austin Combs
Cronin Group,9/11/2019,2019-09-24 00:00:00,Annamarie Lavergne
O'Hara LLC,6/13/2019,2021-01-01 00:00:00,Ardath Slade
Conroy Inc,3/23/2019,2019-04-09 00:00:00,Ricky Harari
"Walker, Sipes and Howe",12/14/2018,2019-01-13 00:00:00,Julie Graham
Renner Inc,2/3/2020,2021-01-01 00:00:00,Carmen Mclean
Turcotte Group,5/20/2019,2019-06-06 00:00:00,Daniel Moore
Rogahn-Toy,3/19/2019,2019-04-07 00:00:00,Margaret Poole
"Schroeder, Wolff and Muller",1/9/2019,2019-02-02 00:00:00,Brian Colella
Hauck-Cassin,10/10/2019,2021-01-01 00:00:00,Stephen Hotchkiss
"Little, Feil and King",1/28/2020,2020-02-22 00:00:00,Angelina King
"Rosenbaum, Vandervort and Mraz",4/28/2019,2019-05-05 00:00:00,Marie Hines
Osinski-Jones,5/11/2020,2020-05-27 00:00:00,Lennie Deroche
Cole and Sons,4/21/2020,2021-01-01 00:00:00,Robert Hocutt
Grant Inc,4/29/2020,2020-05-21 00:00:00,Gladys Johnson
"Littel, Feest and Collier",4/3/2020,2020-04-30 00:00:00,Jamie Oliver
"Labadie, Carter and Senger",4/10/2019,2019-04-23 00:00:00,Patricia Bushman
Ziemann Group,1/11/2019,2019-01-20 00:00:00,David Allen
Veum and Sons,8/23/2019,2021-01-01 00:00:00,Matthew Burt
Satterfield-Kuphal,6/3/2019,2019-06-29 00:00:00,Megan Emilio
Legros-Veum,3/23/2020,2021-01-01 00:00:00,Daniel Shaw
Harber-Balistreri,10/27/2019,2019-11-16 00:00:00,Edna Ragan
Balistreri-Effertz,11/21/2018,2018-12-21 00:00:00,Claire Cassano
"Aufderhar, Reilly and Bruen",12/5/2018,2019-01-04 00:00:00,Kevin Platt
Lemke-Gorczany,4/5/2020,2020-04-28 00:00:00,Richard Hill
Jacobs-Lynch,5/26/2019,2021-01-01 00:00:00,Royce Lane
"Hyatt, Schaden and Luettgen",12/7/2019,2021-01-01 00:00:00,Vanessa Sigg
Schmeler LLC,5/25/2019,2021-01-01 00:00:00,Domingo Buffington
Bradtke-Volkman,11/7/2019,2019-12-06 00:00:00,Priscilla Smith
"Schamberger, Flatley and Lubowitz",11/17/2019,2019-12-07 00:00:00,John Bolf
Muller-Weber,9/9/2019,2019-09-20 00:00:00,Barbara Nelson
Schroeder-Brekke,9/30/2020,2020-10-22 00:00:00,Charles Lovett
Heathcote-Turcotte,8/24/2020,2021-01-01 00:00:00,George Ferra
Funk-Bartell,12/12/2019,2019-12-23 00:00:00,David Mack
Schneider-Mueller,12/26/2018,2021-01-01 00:00:00,Ralph Wynn
McGlynn and Sons,12/13/2018,2018-12-24 00:00:00,Edward Ralls
"Runolfsson, Rau and Kerluke",11/12/2018,2018-11-24 00:00:00,David Morrison
Feil-Kub,5/8/2019,2019-05-28 00:00:00,Norma Small
"White, Osinski and Gleichner",7/31/2019,2019-08-13 00:00:00,Kathleen Conaughty
King Inc,11/20/2018,2018-12-08 00:00:00,Margaret Singleton
"Cremin, DuBuque and Schaden",3/5/2019,2019-03-21 00:00:00,Tonya Aycock
Feest-Frami,12/27/2019,2021-01-01 00:00:00,Letha Smith
Balistreri Group,2/2/2019,2019-02-10 00:00:00,James Loyd
Robel and Sons,9/28/2018,2021-01-01 00:00:00,Lance Janczewski
Gusikowski Group,9/2/2019,2021-01-01 00:00:00,Clifford Wilson
Cummings LLC,7/28/2019,2019-08-16 00:00:00,James Wharton
Collier-D'Amore,8/14/2019,2019-08-25 00:00:00,Steve Noble
Kulas and Sons,3/16/2020,2020-03-25 00:00:00,Kaylene Mosley
Cummerata Inc,3/7/2019,2019-04-06 00:00:00,Barbara Gaffney
Williamson-Aufderhar,4/28/2019,2019-05-27 00:00:00,Melissa Delrie
"Gibson, Jacobson and Torphy",11/4/2019,2019-11-22 00:00:00,Alicia Remaley
Runolfsdottir LLC,3/27/2020,2020-04-10 00:00:00,Thomas Evans
Renner Group,11/17/2018,2018-12-01 00:00:00,Katherine Storm
Hilpert Group,5/7/2020,2020-05-23 00:00:00,Muriel Butler
O'Reilly and Sons,7/4/2019,2021-01-01 00:00:00,Justin Rolling
"Swift, Kessler and Rath",1/10/2020,2021-01-01 00:00:00,William Brashears
Bergnaum-Runolfsson,8/5/2020,2020-08-27 00:00:00,John Callan
Luettgen Group,2/2/2020,2021-01-01 00:00:00,Samantha Cornelison
Botsford-Mraz,9/14/2020,2020-10-05 00:00:00,Carol Clark
"Heaney, Kessler and Volkman",5/30/2020,2021-01-01 00:00:00,James Schilk
Rowe-Muller,3/13/2020,2020-03-25 00:00:00,Daniel Bolanos
"Gerhold, Huel and Schmeler",7/3/2019,2019-07-18 00:00:00,Dennis Thomas
Fritsch and Sons,6/6/2020,2021-01-01 00:00:00,Nancy Walker
Connelly and Sons,11/22/2019,2021-01-01 00:00:00,Jimmy Johnson
Anderson Group,1/6/2019,2019-02-01 00:00:00,Kyong Chi
Oberbrunner-Mueller,11/3/2018,2018-11-10 00:00:00,Sherry Cole
"Sauer, Moen and Yost",12/28/2019,2020-01-10 00:00:00,David Hamburger
Cremin and Sons,6/11/2019,2019-06-18 00:00:00,Dana Garcia
"Hartmann, Schuppe and Hand",8/30/2019,2019-09-27 00:00:00,Joan Platt
Watsica-Kessler,8/24/2019,2021-01-01 00:00:00,Muriel Campbell
Bailey Inc,2/18/2019,2019-03-17 00:00:00,Gerald Tola
Boyer-Botsford,6/12/2020,2020-06-30 00:00:00,Bernard Taylor
"Toy, Paucek and Murray",3/25/2020,2020-04-18 00:00:00,Melanie Barnes
Kulas LLC,6/12/2019,2019-06-25 00:00:00,Kathleen Williams
"Hauck, Cruickshank and Ondricka",9/16/2018,2018-10-06 00:00:00,Herbert Jenkins
Kuvalis-Wuckert,1/14/2019,2021-01-01 00:00:00,William Paden
"Block, Casper and Tremblay",10/22/2019,2021-01-01 00:00:00,Angela Pinette
Bashirian LLC,6/28/2019,2019-07-10 00:00:00,Michael Meeter
Crooks and Sons,4/8/2020,2020-04-30 00:00:00,Carlos Wilson
Labadie-Beahan,11/17/2018,2018-12-12 00:00:00,Virginia Nazario
Kassulke LLC,10/19/2018,2018-11-15 00:00:00,Christina Marsden
Ondricka-Ritchie,3/27/2020,2021-01-01 00:00:00,Samuel Ruby
Sporer-Miller,10/7/2018,2021-01-01 00:00:00,William Mejia
"Skiles, Schumm and Mueller",1/21/2020,2020-02-03 00:00:00,Shea Cuzco
Nienow-Schamberger,6/7/2020,2020-06-30 00:00:00,Cheryl Troublefield
"Lindgren, Morar and Mraz",9/25/2019,2021-01-01 00:00:00,Richard Richard
Walker-Little,2/27/2020,2020-03-24 00:00:00,Callie Davis
Dibbert and Sons,12/13/2019,2020-01-03 00:00:00,Jean Brawner
Okuneva-Lockman,12/5/2019,2019-12-28 00:00:00,Myrna Petree
Barrows Inc,9/2/2018,2018-09-17 00:00:00,Brenda White
Kautzer LLC,10/20/2019,2021-01-01 00:00:00,Phyllis Willet
Fadel Group,5/31/2020,2020-06-14 00:00:00,Tanya Hunt
"Ullrich, Shanahan and Stoltenberg",5/27/2019,2019-06-08 00:00:00,Nora Johnson
Beer Inc,12/26/2018,2019-01-10 00:00:00,Lynne Gutierrez
"Monahan, Mayer and Gleason",1/12/2019,2019-01-26 00:00:00,Ethel Thornton
Lueilwitz LLC,5/13/2019,2019-05-28 00:00:00,Barbara Mccann
"Lemke, Heathcote and Durgan",9/28/2020,2021-01-01 00:00:00,Donald Thomasson
Bayer-Homenick,12/10/2019,2020-01-09 00:00:00,Marilyn Jones
Powlowski Inc,6/15/2019,2021-01-01 00:00:00,George Tucker
Hand-Osinski,4/6/2020,2021-01-01 00:00:00,Edda Hubertus
"Borer, Zboncak and Morar",10/5/2018,2018-10-13 00:00:00,Robert Creekmore
"O'Keefe, Gottlieb and Flatley",3/14/2019,2019-03-23 00:00:00,Susan Stassinos
Hintz-Sporer,12/27/2018,2021-01-01 00:00:00,Terry Prescott
Lakin-Kulas,6/21/2020,2020-07-17 00:00:00,Johnie Nicholson
"Grant, Walter and Grady",1/25/2020,2020-02-13 00:00:00,Melissa Trotter
"Goodwin, Lueilwitz and Kovacek",6/22/2020,2021-01-01 00:00:00,Joseph Hiles
Reinger Inc,3/23/2019,2019-03-31 00:00:00,Leda Fleeger
Roob LLC,10/16/2019,2021-01-01 00:00:00,Virginia Robinson
Hilll LLC,5/13/2019,2019-05-21 00:00:00,Drew Nolan
Gleason and Sons,6/28/2020,2020-07-25 00:00:00,Mary Leslie
"Schumm, Ankunding and Mertz",9/14/2020,2020-10-09 00:00:00,Helen Price
Walker-Brekke,4/14/2019,2019-05-02 00:00:00,Pamela Mitchell
"Lueilwitz, King and Feeney",2/13/2020,2020-03-03 00:00:00,Mary Moore
"Hahn, Ondricka and Olson",6/5/2019,2019-06-25 00:00:00,Robert Sager
Lynch-Cruickshank,11/6/2019,2021-01-01 00:00:00,Anthony Smith
Bernhard Inc,9/23/2020,2020-10-14 00:00:00,Carol Marquardt
"Marvin, Brekke and Cassin",7/30/2020,2020-08-22 00:00:00,Shirley Ladner
McDermott-Block,8/14/2020,2020-08-31 00:00:00,Ashlyn Diamond
"Hammes, Spinka and Reilly",10/22/2019,2019-11-11 00:00:00,Virgie Stupar
Beer Inc,7/16/2019,2019-07-31 00:00:00,Susan Hill
Doyle Group,12/8/2018,2018-12-16 00:00:00,Ray Porter
"Gerlach, Wolff and Luettgen",4/13/2020,2020-04-23 00:00:00,Mary Green
Stanton-Hettinger,9/7/2018,2021-01-01 00:00:00,Mark Laxen
Lockman-Feeney,7/17/2019,2021-01-01 00:00:00,Luciano Rodriguez
Nikolaus-Hilpert,4/9/2020,2020-04-24 00:00:00,Katherine Miller
"Hegmann, Koelpin and Cassin",6/6/2019,2019-06-16 00:00:00,Gary Isenberg
"Cassin, Trantow and Feil",8/7/2019,2019-09-04 00:00:00,Joan Proctor
"Thiel, Huels and Yundt",7/19/2020,2020-08-08 00:00:00,Lynn White
"Kovacek, Hansen and Marvin",7/6/2019,2019-07-29 00:00:00,Gordon Navarro
Bergnaum-McGlynn,12/1/2019,2019-12-22 00:00:00,Cara Boser
Altenwerth-Schamberger,2/27/2019,2019-03-11 00:00:00,Wendy Ruivo
Purdy-Schiller,4/7/2020,2020-04-15 00:00:00,Kevin Freeman
O'Reilly-Schowalter,8/1/2019,2019-08-15 00:00:00,Tyrone Penn
Bauch-Daugherty,9/28/2018,2021-01-01 00:00:00,John Elzey
Hermann Inc,5/25/2019,2019-06-01 00:00:00,Hector Corbett
"Roberts, Raynor and Pfeffer",7/19/2020,2021-01-01 00:00:00,Daryl Maass
"Moore, Grant and Carroll",1/31/2020,2020-02-27 00:00:00,Linda Holden
Rolfson Inc,2/15/2019,2021-01-01 00:00:00,Alison Tate
"Abshire, Vandervort and Bruen",6/7/2019,2019-06-20 00:00:00,Kathleen Hill
Sawayn Group,9/12/2019,2019-09-29 00:00:00,Anita Mirsky
"Dibbert, Torp and Tremblay",3/8/2019,2019-03-28 00:00:00,Yuriko Yancey
"Stanton, Robel and Beier",9/11/2019,2019-09-27 00:00:00,Adolph Mendez
"Schiller, Wiegand and Jones",3/19/2019,2019-04-16 00:00:00,Joyce Golden
Rice-Carter,5/19/2019,2019-05-28 00:00:00,Isaura Kalina
Gusikowski and Sons,7/31/2020,2020-08-23 00:00:00,David Post
Stark and Sons,2/7/2020,2020-02-25 00:00:00,Thomas Viles
"Pouros, Glover and Koch",11/10/2018,2018-11-30 00:00:00,Devona Rohrs
"Bradtke, McClure and Runolfsson",8/19/2019,2021-01-01 00:00:00,Lorene Viruet
"Oberbrunner, Harber and Hauck",10/22/2019,2019-11-15 00:00:00,Sammy Hoium
Conn Group,6/24/2019,2019-07-24 00:00:00,Robert Mateer
"Roob, Macejkovic and Gislason",11/16/2018,2021-01-01 00:00:00,Artie Gatling
Collier-Hand,5/3/2020,2020-05-16 00:00:00,Brittany White
Leffler Inc,8/6/2019,2019-08-14 00:00:00,Lorraine Harvey
"Kirlin, Huels and Beer",12/22/2018,2019-01-02 00:00:00,Rubin Hollie
Krajcik-Bins,8/10/2019,2019-08-31 00:00:00,Robert Williams
Gutkowski and Sons,3/22/2020,2020-04-12 00:00:00,Clyde Davidson
"Barrows, Ernser and Marks",9/7/2018,2018-10-01 00:00:00,Calvin Mozak
"Wolff, Daugherty and Pagac",7/29/2020,2020-08-12 00:00:00,Mike Coker
"Bogisich, Walsh and Auer",10/19/2018,2021-01-01 00:00:00,Joe Roberts
Runolfsson and Sons,6/29/2019,2019-07-15 00:00:00,Randall Jones
"Bartell, Miller and Flatley",1/23/2019,2019-02-18 00:00:00,Minerva Crawford
"Hudson, Hamill and Reynolds",12/7/2018,2018-12-16 00:00:00,Harold Wall
Goyette-Daugherty,9/30/2018,2018-10-30 00:00:00,Bruce Ziad
Crooks-Bernhard,2/10/2020,2020-02-19 00:00:00,Kenneth Volkert
Hegmann Group,4/27/2019,2019-05-05 00:00:00,Walter Shepard
"Ryan, Rutherford and Dietrich",12/26/2019,2020-01-25 00:00:00,Ethel Harari
Parisian and Sons,8/14/2019,2021-01-01 00:00:00,Allen Young
"Bednar, Streich and Rowe",11/25/2018,2021-01-01 00:00:00,Mary Hartman
Leuschke-Runolfsson,2/5/2019,2019-02-27 00:00:00,Lauren Whitmire
Conn Inc,6/24/2019,2021-01-01 00:00:00,Walter Steins
Mann-Swift,12/29/2019,2021-01-01 00:00:00,Alfonso Mcmahan
Huel LLC,1/2/2019,2019-01-31 00:00:00,Georgia Mccue
Goodwin-Abbott,10/25/2019,2019-11-21 00:00:00,Kathrine Billington
Lindgren Inc,9/24/2018,2018-10-22 00:00:00,Alma Sanchez
Bogisich LLC,3/1/2020,2020-03-28 00:00:00,Philip Parker
Gorczany Group,7/18/2019,2019-08-12 00:00:00,Timothy Stancil
Wintheiser LLC,3/2/2020,2021-01-01 00:00:00,Christian Follansbee
"Jacobs, Pouros and Jerde",5/24/2020,2020-06-19 00:00:00,Patrice Griffin
"Spencer, Donnelly and Marvin",10/8/2019,2019-10-28 00:00:00,Jalisa Maze
"Pouros, Bauch and Satterfield",12/24/2019,2020-01-08 00:00:00,Annamarie Mccann
Metz-Gutkowski,11/5/2018,2018-11-29 00:00:00,Jerry Willimas
Rosenbaum-Predovic,9/23/2018,2018-10-12 00:00:00,Barbara Thibodeau
"Luettgen, Renner and Schinner",10/20/2019,2019-11-05 00:00:00,Thomas Wilson
Schamberger-VonRueden,12/9/2019,2021-01-01 00:00:00,Harold Enyart
Shields-Reinger,9/2/2020,2021-01-01 00:00:00,William Reinhardt
"Lebsack, Harvey and O'Keefe",1/18/2020,2020-01-29 00:00:00,James Rinck
"Reilly, Dickinson and Tromp",10/23/2018,2018-11-09 00:00:00,Howard Bostic
"Batz, Spinka and Strosin",10/10/2019,2021-01-01 00:00:00,Helen Johnson
Kunze LLC,11/9/2018,2018-11-24 00:00:00,Ruth Throckmorton
"Prohaska, Kihn and Ullrich",7/26/2020,2020-08-11 00:00:00,Elmer Conley
Spencer-Ferry,5/22/2020,2020-06-14 00:00:00,James Holloway
"Jast, Schimmel and Daniel",6/18/2019,2019-07-16 00:00:00,Joe Jefferson
Lubowitz Inc,8/15/2019,2019-08-22 00:00:00,Joseph Ahrens
Quitzon-Goldner,8/27/2019,2021-01-01 00:00:00,Kirk Gregory
Padberg-Braun,1/13/2020,2020-01-23 00:00:00,Harry Weaver
Jerde-Cruickshank,12/11/2018,2018-12-20 00:00:00,Cameron Low
Kilback Group,11/19/2018,2018-12-17 00:00:00,Helga Burnham
"Kautzer, Zieme and Breitenberg",9/2/2019,2021-01-01 00:00:00,Rebecca Adelson
"Green, Runolfsson and Lehner",5/23/2020,2020-06-18 00:00:00,Walter Taylor
Altenwerth-Dicki,12/5/2019,2019-12-25 00:00:00,Keri Takahashi
Gislason-Kub,9/26/2018,2018-10-12 00:00:00,Victor Scott
"Johnston, Heidenreich and Leffler",4/4/2020,2020-04-17 00:00:00,John Buckles
Mayert-Berge,9/10/2020,2020-09-26 00:00:00,Jason Gutierrez
Wuckert and Sons,11/8/2019,2019-12-01 00:00:00,Sebastian Nickel
"Wehner, Pfeffer and Goodwin",7/18/2020,2020-08-11 00:00:00,Matt Smith
"Gusikowski, Nikolaus and Hyatt",3/14/2019,2019-04-12 00:00:00,Timothy Gordon
Rodriguez Group,11/13/2019,2019-11-28 00:00:00,Brian Chizmar
"Armstrong, Herzog and Rohan",3/10/2020,2020-03-27 00:00:00,Melvin Wise
Howe-Lubowitz,2/22/2020,2020-03-22 00:00:00,Lee Halstead
"Vandervort, Emard and Ferry",5/14/2020,2021-01-01 00:00:00,Terry Cammarata
Lubowitz LLC,5/13/2020,2020-06-07 00:00:00,Ronald Helmick
"Hickle, Olson and Feest",8/2/2019,2019-08-29 00:00:00,Amie Polster
"Sporer, Robel and Grant",7/8/2020,2020-07-30 00:00:00,Charles Olson
Bernier-VonRueden,9/21/2018,2021-01-01 00:00:00,Dora Bunch
"Rolfson, Tillman and Kessler",11/11/2018,2018-12-06 00:00:00,Becky Thomas
"Sporer, Crona and Jenkins",7/9/2019,2019-07-16 00:00:00,Donna Martinez
Welch LLC,11/10/2019,2021-01-01 00:00:00,Betty Christopherso
"Yundt, Beer and Welch",10/11/2019,2019-11-09 00:00:00,Brian Howell
"Tromp, Lynch and Reilly",11/26/2018,2018-12-26 00:00:00,Simon Scalf
Strosin and Sons,8/10/2019,2019-09-07 00:00:00,Mandy Branch
"Gibson, Bernier and Fay",4/30/2019,2019-05-18 00:00:00,Barbara Mckee
Skiles and Sons,8/6/2019,2021-01-01 00:00:00,Ashley Grinage
"Cassin, Leffler and Larson",11/12/2019,2019-11-20 00:00:00,Damon Henderson
"Daniel, Reichel and Kulas",10/18/2019,2019-11-09 00:00:00,Claire Wilson
Stroman LLC,11/5/2019,2021-01-01 00:00:00,Clark Williams
"Emard, Kilback and Cormier",2/28/2020,2020-03-06 00:00:00,Kathleen James
Kshlerin LLC,10/9/2018,2018-10-20 00:00:00,Matthew Snider
"Kunze, Hettinger and Senger",9/30/2018,2018-10-18 00:00:00,Robert Magner
Sawayn-Wilderman,8/10/2019,2019-09-03 00:00:00,Harry Whitley
"Ratke, Keeling and Gislason",1/23/2020,2020-02-10 00:00:00,Cathrine Roghair
"Kunze, Bradtke and Oberbrunner",12/15/2018,2019-01-03 00:00:00,Francisco Ramirez
"Bergstrom, Williamson and Smith",2/4/2019,2021-01-01 00:00:00,Nora Gillespie
"Gottlieb, Kautzer and Bogisich",1/22/2019,2019-01-30 00:00:00,Michelle Boyce
Christiansen-Homenick,5/28/2020,2021-01-01 00:00:00,Charles Halliburton
"Jast, Beer and Reynolds",11/26/2019,2021-01-01 00:00:00,Brandon Sullivan
Nolan and Sons,11/28/2018,2018-12-12 00:00:00,Mary Miles
Altenwerth-Watsica,8/10/2019,2019-08-29 00:00:00,Katherine Mcguire
